營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台南區營業處#H36404#管線遷移工程#2017/10/02 14:30~16:30#無#南市安南區城西里#1911#
台電台南區營業處#H16269#管線遷移工程#2017/10/02 15:00~17:00#無#南市仁德區#1911#
台電台南區營業處#H16269#管線遷移工程#2017/10/02 15:00~17:00#無#南市仁德區土庫段#1911#
台電台南區營業處#H16268#管線遷移工程#2017/10/02 15:00~16:30#無#南市仁德區一甲段#1911#
台電台南區營業處#H16268#管線遷移工程#2017/10/02 15:00~16:30#無#南市仁德區#1911#
台電台南區營業處#H16268#管線遷移工程#2017/10/02 15:00~16:30#無#南市仁德區中正路三段#1911#
台電台南區營業處#L31071#管線遷移工程#2017/10/02 16:30~17:00#無#南市東區德光街#1911#
台電台南區營業處#L31071#管線遷移工程#2017/10/02 16:30~17:00#無#南市東區富德街#1911#
台電台南區營業處#L31071#管線遷移工程#2017/10/02 16:30~17:00#無#南市東區富強路#1911#
台電台南區營業處#L31071#管線遷移工程#2017/10/02 16:30~17:00#無#南市東區東門路二段#1911#
台電台南區營業處#H36392#管線遷移工程#2017/10/03 08:00~12:00#無#南市玉井區中正里#1911#
台電台南區營業處#H36392#管線遷移工程#2017/10/03 08:00~12:00#無#南市玉井區大埕街#1911#
台電台南區營業處#H36392#管線遷移工程#2017/10/03 08:00~12:00#無#南市玉井區中正段#1911#
台電台南區營業處#H36392#管線遷移工程#2017/10/03 08:00~12:00#無#南市玉井區竹圍段#1911#
台電台南區營業處#H36392#管線遷移工程#2017/10/03 08:00~12:00#無#南市玉井區店仔街#1911#
台電台南區營業處#H36392#管線遷移工程#2017/10/03 08:00~12:00#無#南市玉井區健康街#1911#
台電台南區營業處#H36392#管線遷移工程#2017/10/03 08:00~12:00#無#南市玉井區進學街#1911#
台電台南區營業處#H36392#管線遷移工程#2017/10/03 08:00~12:00#無#南市玉井區福德街#1911#
台電台南區營業處#H16270#管線遷移工程#2017/10/03 08:00~09:30#無#南市新市區南科南路#1911#
台電台南區營業處#H36392#管線遷移工程#2017/10/03 08:00~12:00#無#南市玉井區#1911#
台電台南區營業處#L11017#管線遷移工程#2017/10/03 08:00~11:00#無#南市七股區十分塭段#1911#
台電台南區營業處#L11017#管線遷移工程#2017/10/03 08:00~11:00#無#南市七股區十份里#1911#
台電台南區營業處#L11018#管線遷移工程#2017/10/03 08:00~11:00#無#南市七股區十分塭段#1911#
台電台南區營業處#L11018#管線遷移工程#2017/10/03 08:00~11:00#無#南市七股區十份里#1911#
台電台南區營業處#H36346#管線遷移工程#2017/10/03 08:30~12:00#無#南市中西區和緯路四段#1911#
台電台南區營業處#L11016#管線遷移工程#2017/10/03 08:30~11:30#無#南市七股區十份里#1911#
台電台南區營業處#H36379#管線遷移工程#2017/10/03 08:30~13:00#無#南市麻豆區麻口里番子寮#1911#
台電台南區營業處#H36379#管線遷移工程#2017/10/03 08:30~13:00#無#南市麻豆區麻口里#1911#
台電台南區營業處#L31036#管線遷移工程#2017/10/03 08:30~10:00#無#南市七股區三股里#1911#
台電台南區營業處#L31036#管線遷移工程#2017/10/03 08:30~10:00#無#南市七股區三股里三股#1911#
台電台南區營業處#H36379#管線遷移工程#2017/10/03 08:30~13:00#無#南市麻豆區朝天段#1911#
台電台南區營業處#L30974#管線遷移工程#2017/10/03 08:30~11:30#無#南市永康區龍潭里#1911#
台電台南區營業處#L30974#管線遷移工程#2017/10/03 08:30~11:30#無#南市永康區龍昌街#1911#
台電台南區營業處#L30974#管線遷移工程#2017/10/03 08:30~11:30#無#南市永康區王田段#1911#
台電台南區營業處#L30974#管線遷移工程#2017/10/03 08:30~11:30#無#南市永康區中山北路#1911#
台電台南區營業處#H36346#管線遷移工程#2017/10/03 08:30~12:00#無#南市中西區武聖路#1911#
台電台南區營業處#H16271#管線遷移工程#2017/10/03 08:45~10:00#無#南市新市區南科二路#1911#
台電台南區營業處#L30944#管線遷移工程#2017/10/03 09:00~12:00#無#南市北區武聖路#1911#
台電台南區營業處#L30870#管線遷移工程#2017/10/03 09:00~12:00#無#南市仁德區中正路二段#1911#
台電台南區營業處#L30944#管線遷移工程#2017/10/03 09:00~12:00#無#南市中西區武聖路#1911#
台電台南區營業處#L11019#管線遷移工程#2017/10/03 09:00~12:00#無#南市七股區十份里#1911#
台電台南區營業處#L11015#管線遷移工程#2017/10/03 09:00~12:00#無#南市七股區十份里#1911#
台電台南區營業處#L11015#管線遷移工程#2017/10/03 09:00~12:00#無#南市七股區十分塭段#1911#
台電台南區營業處#H16272#管線遷移工程#2017/10/03 09:30~11:00#無#南市新市區大順三路#1911#
台電台南區營業處#H16272#管線遷移工程#2017/10/03 09:30~11:00#無#南市新市區大順一路#1911#
台電台南區營業處#H16272#管線遷移工程#2017/10/03 09:30~11:00#無#南市新市區#1911#
台電台南區營業處#L11020#管線遷移工程#2017/10/03 09:30~13:00#無#南市七股區十份里#1911#
台電台南區營業處#L11021#管線遷移工程#2017/10/03 10:00~14:00#無#南市七股區十份里#1911#
台電台南區營業處#L11014#管線遷移工程#2017/10/03 10:00~14:00#無#南市七股區#1911#
台電台南區營業處#L11014#管線遷移工程#2017/10/03 10:00~14:00#無#南市七股區十份里#1911#
台電台南區營業處#L11014#管線遷移工程#2017/10/03 10:00~14:00#無#南市七股區十分塭段#1911#
台電台南區營業處#L11024#管線遷移工程#2017/10/03 11:00~15:00#無#南市七股區三股里#1911#
台電台南區營業處#L11013#管線遷移工程#2017/10/03 11:00~15:00#無#南市七股區十份里#1911#
台電台南區營業處#H16372#管線遷移工程#2017/10/03 11:00~12:00#無#南市新市區南科六路#1911#
台電台南區營業處#L11024#管線遷移工程#2017/10/03 11:00~15:00#無#南市七股區三股子段#1911#
台電台南區營業處#H16275#管線遷移工程#2017/10/03 13:00~14:00#無#南市新市區大順七路#1911#
台電台南區營業處#H16275#管線遷移工程#2017/10/03 13:00~14:00#無#南市善化區善化段#1911#
台電台南區營業處#L31066#管線遷移工程#2017/10/03 13:00~16:00#無#南市南化區南化段#1911#
台電台南區營業處#L31057#管線遷移工程#2017/10/03 13:00~14:30#無#南市麻豆區朝天段#1911#
台電台南區營業處#L31065#管線遷移工程#2017/10/03 13:00~16:00#無#南市南化區東和里#1911#
台電台南區營業處#L31065#管線遷移工程#2017/10/03 13:00~16:00#無#南市南化區菁埔寮段#1911#
台電台南區營業處#L11012#管線遷移工程#2017/10/03 13:00~16:00#無#南市七股區十份里#1911#
台電台南區營業處#L31057#管線遷移工程#2017/10/03 13:00~14:30#無#南市麻豆區南寮段#1911#
台電台南區營業處#L31035#管線遷移工程#2017/10/03 13:30~17:00#無#南市將軍區鯤溟里#1911#
台電台南區營業處#L31035#管線遷移工程#2017/10/03 13:30~17:00#無#南市將軍區#1911#
台電台南區營業處#L31059#管線遷移工程#2017/10/03 13:30~16:30#無#南市善化區牛庄里#1911#
台電台南區營業處#H16276#管線遷移工程#2017/10/03 13:30~14:30#無#南市善化區科學園區#1911#
台電台南區營業處#H16276#管線遷移工程#2017/10/03 13:30~14:30#無#南市新市區大順八路#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~14:00#2017/10/03 16:30~17:00#南市中西區民生路一段#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~14:00#2017/10/03 16:30~17:00#南市中西區民權路二段#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~14:00#2017/10/03 16:30~17:00#南市中西區民權路三段#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~14:00#2017/10/03 16:30~17:00#南市中西區永福路二段#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~14:00#2017/10/03 16:30~17:00#南市中西區西門路二段#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~14:00#2017/10/03 16:30~17:00#南市中西區和平街#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~14:00#2017/10/03 16:30~17:00#南市中西區宮後街#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~14:00#2017/10/03 16:30~17:00#南市中西區神農街#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~14:00#2017/10/03 16:30~17:00#南市中西區新美街#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~17:00#無#南市中西區民生路二段#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~17:00#無#南市中西區民權路二段#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~17:00#無#南市中西區新美街#1911#
台電台南區營業處#H36344#管線遷移工程#2017/10/03 13:30~17:00#無#南市#1911#
台電台南區營業處#L11011#管線遷移工程#2017/10/03 14:00~17:00#無#南市七股區十分塭段#1911#
台電台南區營業處#H16277#管線遷移工程#2017/10/03 14:00~15:30#無#南市善化區南科六路#1911#
台電台南區營業處#L11011#管線遷移工程#2017/10/03 14:00~17:00#無#南市七股區十份里#1911#
台電台南區營業處#L11026#管線遷移工程#2017/10/03 14:00~17:00#無#南市七股區十分塭段#1911#
台電台南區營業處#H16279#管線遷移工程#2017/10/03 14:30~16:30#無#南市新市區環東路二段#1911#
台電台南區營業處#H16279#管線遷移工程#2017/10/03 14:30~16:30#無#南市新市區新科段#1911#
台電台南區營業處#H16279#管線遷移工程#2017/10/03 14:30~16:30#無#南市新市區南科北路#1911#
台電台南區營業處#H16279#管線遷移工程#2017/10/03 14:30~16:30#無#南市新市區西拉雅大道#1911#
台電台南區營業處#H16279#管線遷移工程#2017/10/03 14:30~16:30#無#南市新市區環東路一段#1911#
台電台南區營業處#H16280#管線遷移工程#2017/10/03 15:30~17:00#無#南市新市區南科三路#1911#
台電台南區營業處#H16280#管線遷移工程#2017/10/03 15:30~17:00#無#南市新市區環東路一段#1911#
台電台南區營業處#H16281#管線遷移工程#2017/10/04 08:00~09:00#無#南市安定區港口段#1911#
台電台南區營業處#H16281#管線遷移工程#2017/10/04 08:00~09:00#無#南市安定區#1911#
台電台南區營業處#H16281#管線遷移工程#2017/10/04 08:00~09:00#無#南市安定區港南里#1911#
台電台南區營業處#H16282#管線遷移工程#2017/10/04 08:30~09:30#無#南市安定區１７８線#1911#
台電台南區營業處#H16282#管線遷移工程#2017/10/04 08:30~09:30#無#南市安定區港南里#1911#
台電台南區營業處#H16283#管線遷移工程#2017/10/04 09:00~10:00#無#南市安定區港南里#1911#
台電台南區營業處#H16283#管線遷移工程#2017/10/04 09:00~10:00#無#南市安定區港口段#1911#
台電台南區營業處#H16283#管線遷移工程#2017/10/04 09:00~10:00#無#南市安定區港口里#1911#
台電台南區營業處#L31054#管線遷移工程#2017/10/04 09:00~12:00#無#南市仁德區崑崙段#1911#
台電台南區營業處#L31054#管線遷移工程#2017/10/04 09:00~12:00#無#南市仁德區#1911#
台電台南區營業處#H16284#管線遷移工程#2017/10/04 09:30~10:30#無#南市安定區港南里#1911#
台電台南區營業處#H16284#管線遷移工程#2017/10/04 09:30~10:30#無#南市安定區港南里港口#1911#
台電台南區營業處#H16285#管線遷移工程#2017/10/04 10:00~11:00#無#南市安定區#1911#
台電台南區營業處#H16285#管線遷移工程#2017/10/04 10:00~11:00#無#南市安定區六塊寮段#1911#
台電台南區營業處#H16285#管線遷移工程#2017/10/04 10:00~11:00#無#南市安定區大同里大同#1911#
台電台南區營業處#H16285#管線遷移工程#2017/10/04 10:00~11:00#無#南市安定區大同里#1911#
台電台南區營業處#H16286#管線遷移工程#2017/10/04 10:30~12:00#無#南市安定區#1911#
台電台南區營業處#H16286#管線遷移工程#2017/10/04 10:30~12:00#無#南市安定區六嘉里六塊寮#1911#
台電台南區營業處#H16286#管線遷移工程#2017/10/04 10:30~12:00#無#南市安定區六嘉里#1911#
台電台南區營業處#H16286#管線遷移工程#2017/10/04 10:30~12:00#無#南市安定區大同里#1911#
台電台南區營業處#H16286#管線遷移工程#2017/10/04 10:30~12:00#無#南市安定區六塊寮段#1911#
台電台南區營業處#H16287#管線遷移工程#2017/10/04 13:00~14:00#無#南市安定區#1911#
台電台南區營業處#H16287#管線遷移工程#2017/10/04 13:00~14:00#無#南市安定區六嘉里六塊寮#1911#
台電台南區營業處#H16287#管線遷移工程#2017/10/04 13:00~14:00#無#南市安定區六嘉里#1911#
台電台南區營業處#H16288#管線遷移工程#2017/10/04 13:30~14:30#無#南市安定區#1911#
台電台南區營業處#L31055#管線遷移工程#2017/10/04 13:30~16:00#無#南市仁德區#1911#
台電台南區營業處#L31055#管線遷移工程#2017/10/04 13:30~16:00#無#南市仁德區中洲段#1911#
台電台南區營業處#L31055#管線遷移工程#2017/10/04 13:30~16:00#無#南市仁德區中生里中洲#1911#
台電台南區營業處#L31055#管線遷移工程#2017/10/04 13:30~16:00#無#南市仁德區中生里#1911#
台電台南區營業處#H16289#管線遷移工程#2017/10/04 14:00~15:00#無#南市安定區六塊寮段#1911#
