營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台北西區營業處#H19333#高壓線路改善#2017/10/14 00:00~03:00#無#新北五股區五工一路#1911#
台電台北西區營業處#H19333#高壓線路改善#2017/10/14 00:00~03:00#無#新北五股區五權三路#1911#
台電台北西區營業處#H19333#高壓線路改善#2017/10/14 00:00~03:00#無#新北五股區五權二路#1911#
台電台北西區營業處#H19333#高壓線路改善#2017/10/14 00:00~03:00#無#新北新莊區五權二路#1911#
台電台北西區營業處#H19334#高壓線路改善#2017/10/14 00:00~03:00#無#新北五股區五工五路#1911#
台電台北西區營業處#H19334#高壓線路改善#2017/10/14 00:00~03:00#無#新北五股區五工路#1911#
台電台北西區營業處#H19334#高壓線路改善#2017/10/14 00:00~03:00#無#新北五股區五權路#1911#
台電台北西區營業處#H19334#高壓線路改善#2017/10/14 00:00~03:00#無#新北五股區五權七路#1911#
台電台北西區營業處#H19353#高壓線路改善#2017/10/14 03:00~06:00#無#新北五股區五工五路#1911#
台電台北西區營業處#H19353#高壓線路改善#2017/10/14 03:00~06:00#無#新北五股區五權六路#1911#
台電台北西區營業處#H19353#高壓線路改善#2017/10/14 03:00~06:00#無#新北五股區五權路#1911#
台電台北西區營業處#H19335#高壓線路改善#2017/10/14 03:00~06:00#無#新北新莊區五權二路#1911#
台電台北西區營業處#H19335#高壓線路改善#2017/10/14 03:00~06:00#無#新北五股區五權三路#1911#
台電台北西區營業處#H19335#高壓線路改善#2017/10/14 03:00~06:00#無#新北五股區五工一路#1911#
台電台北西區營業處#H19335#高壓線路改善#2017/10/14 03:00~06:00#無#新北五股區五工二路#1911#
台電台北西區營業處#H19335#高壓線路改善#2017/10/14 03:00~06:00#無#新北五股區五權二路#1911#
台電台北西區營業處#H19335#高壓線路改善#2017/10/14 03:00~06:00#無##1911#
台電台北西區營業處#H39375#管線遷移工程#2017/10/14 09:00~17:00#無##1911#
台電台北西區營業處#H39375#管線遷移工程#2017/10/14 09:00~17:00#無#新北林口區南福路#1911#
台電台北西區營業處#H39375#管線遷移工程#2017/10/14 09:00~17:00#無#新北林口區南勢路#1911#
台電台北西區營業處#H39375#管線遷移工程#2017/10/14 09:00~17:00#無#新北林口區南勢里#1911#
台電台北西區營業處#H39375#管線遷移工程#2017/10/14 09:00~17:00#無#桃市蘆竹區南崁路#1911#
台電台北西區營業處#H39343#管線遷移工程#2017/10/14 09:00~12:00#無#新北林口區南勢路#1911#
台電台北西區營業處#H39343#管線遷移工程#2017/10/14 09:00~12:00#無#新北林口區南勢街#1911#
台電台北西區營業處#H39343#管線遷移工程#2017/10/14 09:00~12:00#無#新北林口區南勢里#1911#
台電台北西區營業處#H39343#管線遷移工程#2017/10/14 09:00~12:00#無#新北林口區忠孝路#1911#
台電台北西區營業處#H29366#管線遷移工程#2017/10/14 09:00~16:00#無#新北鶯歌區鶯桃路#1911#
台電台北西區營業處#H39343#管線遷移工程#2017/10/14 09:00~12:00#無#桃市蘆竹區坑子里#1911#
台電台北西區營業處#H39343#管線遷移工程#2017/10/14 09:00~12:00#無#桃市蘆竹區赤塗崎#1911#
台電台北西區營業處#H29366#管線遷移工程#2017/10/14 09:00~16:00#無#新北鶯歌區永福街#1911#
台電台北西區營業處#H29366#管線遷移工程#2017/10/14 09:00~16:00#無#新北鶯歌區永和街#1911#
台電台北西區營業處#H29311#管線遷移工程#2017/10/14 09:00~12:00#無#新北三峽區橫溪路#1911#
台電台北西區營業處#H29311#管線遷移工程#2017/10/14 09:00~12:00#無#新北三峽區溪北街#1911#
台電台北西區營業處#H29311#管線遷移工程#2017/10/14 09:00~12:00#無#新北三峽區：#1911#
台電台北西區營業處#H29311#管線遷移工程#2017/10/14 09:00~12:00#無#新北三峽區介壽路三段#1911#
