營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電台中區營業處#H36017#管線遷移工程#2017/10/03 09:30~15:00#無#中市南屯區文山五街#1911#
台電台中區營業處#L13140#管線遷移工程#2017/10/03 10:40~12:20#無#中市北屯區舊社巷#1911#
台電台中區營業處#L23182#管線遷移工程#2017/10/03 13:00~17:00#無#中市豐原區東洲路#1911#
台電台中區營業處#L23182#管線遷移工程#2017/10/03 13:00~17:00#無#中市神岡區東洲路#1911#
台電台中區營業處#L23182#管線遷移工程#2017/10/03 13:00~17:00#無#中市豐原區西湳段#1911#
台電台中區營業處#L13142#管線遷移工程#2017/10/03 14:20~15:20#無#中市北屯區松竹路一段#1911#
台電台中區營業處#L13142#管線遷移工程#2017/10/03 14:20~15:20#無#中市北屯區舊社巷#1911#
台電台中區營業處#L13334#管線遷移工程#2017/10/03 15:00~15:50#無#中市西屯區廣福路#1911#
台電台中區營業處#L13143#管線遷移工程#2017/10/03 15:30~16:30#無#中市北屯區碧柳二巷#1911#
台電台中區營業處#L13144#管線遷移工程#2017/10/03 16:40~17:30#無#中市北屯區碧柳一巷#1911#
台電台中區營業處#L53208#管線遷移工程#2017/10/04 08:00~08:45#無#中市新社區大南段大南小段#1911#
台電台中區營業處#L53208#管線遷移工程#2017/10/04 08:00~08:45#無#中市新社區華豐街#1911#
台電台中區營業處#L53208#管線遷移工程#2017/10/04 08:00~08:45#無#中市新社區大南小段#1911#
台電台中區營業處#L53208#管線遷移工程#2017/10/04 08:00~08:45#無#中市新社區大南段#1911#
台電台中區營業處#L23336#管線遷移工程#2017/10/04 08:30~12:00#無#中市后里區甲后路一段#1911#
台電台中區營業處#L23336#管線遷移工程#2017/10/04 08:30~12:00#無#中市后里區甲后路#1911#
台電台中區營業處#L13340#管線遷移工程#2017/10/04 08:30~09:30#無#中市大雅區民生路一段#1911#
台電台中區營業處#L53210#管線遷移工程#2017/10/04 09:40~10:15#無#中市新社區大南段大南小段#1911#
台電台中區營業處#L53210#管線遷移工程#2017/10/04 09:40~10:15#無#中市新社區大南段#1911#
台電台中區營業處#L53210#管線遷移工程#2017/10/04 09:40~10:15#無#中市新社區華豐街#1911#
台電台中區營業處#L13341#管線遷移工程#2017/10/04 09:40~10:40#無#中市大雅區民生路一段#1911#
台電台中區營業處#L13342#管線遷移工程#2017/10/04 10:50~11:30#無#中市大雅區大雅路#1911#
台電台中區營業處#L13342#管線遷移工程#2017/10/04 10:50~11:30#無#中市大雅區民生路一段#1911#
台電台中區營業處#L13344#管線遷移工程#2017/10/04 13:00~13:50#無#中市大雅區學府路#1911#
台電台中區營業處#L23371#管線遷移工程#2017/10/04 13:30~17:00#無#中市后里區九甲路#1911#
台電台中區營業處#L13345#管線遷移工程#2017/10/04 14:00~14:30#無#中市大雅區雅環一街#1911#
台電台中區營業處#L13345#管線遷移工程#2017/10/04 14:00~14:30#無#中市大雅區雅環路二段#1911#
台電台中區營業處#L13346#管線遷移工程#2017/10/04 14:40~15:40#無#中市大雅區雅環路二段#1911#
台電台中區營業處#L13347#管線遷移工程#2017/10/04 15:50~16:50#無#中市大雅區大林路#1911#
台電台中區營業處#L13348#管線遷移工程#2017/10/04 16:55~17:55#無#中市大雅區大林路#1911#
台電台中區營業處#L23372#管線遷移工程#2017/10/05 08:00~12:00#無#中市太平區頭汴坑段#1911#
台電台中區營業處#L33379#管線遷移工程#2017/10/05 08:30~13:00#無#中市西屯區文華路#1911#
台電台中區營業處#L33379#管線遷移工程#2017/10/05 08:30~13:00#無#中市西屯區福上巷#1911#
台電台中區營業處#L33379#管線遷移工程#2017/10/05 08:30~13:00#無#中市西屯區福星路#1911#
台電台中區營業處#L23231#管線遷移工程#2017/10/05 08:30~15:00#無#中市沙鹿區明德路#1911#
台電台中區營業處#L23231#管線遷移工程#2017/10/05 08:30~15:00#無#中市沙鹿區明德段#1911#
台電台中區營業處#L33378#管線遷移工程#2017/10/05 08:30~12:00#無#中市西屯區文華路#1911#
台電台中區營業處#L23231#管線遷移工程#2017/10/05 08:30~15:00#無#中市沙鹿區中清路七段#1911#
台電台中區營業處#L23375#管線遷移工程#2017/10/05 08:30~12:00#無#中市潭子區潭富二街#1911#
台電台中區營業處#L93305#管線遷移工程#2017/10/05 09:00~15:00#無#中市外埔區三崁路#1911#
台電台中區營業處#L13198#管線遷移工程#2017/10/05 09:30~10:30#無#中市沙鹿區正義路#1911#
台電台中區營業處#L23183#管線遷移工程#2017/10/05 13:00~15:30#無#中市神岡區岸裡一街#1911#
台電台中區營業處#L23183#管線遷移工程#2017/10/05 13:00~15:30#無#中市神岡區岸裡二街#1911#
台電台中區營業處#L23183#管線遷移工程#2017/10/05 13:00~15:30#無#中市豐原區三角路#1911#
台電台中區營業處#L23183#管線遷移工程#2017/10/05 13:00~15:30#無#中市豐原區大豐路五段#1911#
台電台中區營業處#L23373#管線遷移工程#2017/10/05 13:00~17:00#無#中市新社區中和街四段#1911#
台電台中區營業處#L23232#管線遷移工程#2017/10/06 08:00~17:00#無#中市大安區南埔段#1911#
台電台中區營業處#L23232#管線遷移工程#2017/10/06 08:00~17:00#無#中市大安區南庄段#1911#
台電台中區營業處#L23232#管線遷移工程#2017/10/06 08:00~17:00#無#中市大安區南安段#1911#
台電台中區營業處#L23232#管線遷移工程#2017/10/06 08:00~17:00#無#中市大安區大興路#1911#
台電台中區營業處#L23232#管線遷移工程#2017/10/06 08:00~17:00#無#中市大安區新南埔段#1911#
台電台中區營業處#L12898#管線遷移工程#2017/10/06 08:20~09:00#無#中市西屯區西安街#1911#
台電台中區營業處#H96014#管線遷移工程#2017/10/06 08:30~09:00#無#中市北屯區軍榮二街#1911#
台電台中區營業處#H96014#管線遷移工程#2017/10/06 08:30~09:00#無#中市北屯區軍榮街#1911#
台電台中區營業處#H96014#管線遷移工程#2017/10/06 08:30~09:00#無#中市北屯區軍功路二段#1911#
台電台中區營業處#H96014#管線遷移工程#2017/10/06 08:30~09:00#無#中市北屯區松竹路一段#1911#
台電台中區營業處#L23310#管線遷移工程#2017/10/06 08:30~17:00#無#中市東勢區石城街竹山巷#1911#
台電台中區營業處#L23310#管線遷移工程#2017/10/06 08:30~17:00#無#中市東勢區石城街#1911#
台電台中區營業處#L23310#管線遷移工程#2017/10/06 08:30~17:00#無#中市石岡區石岡#1911#
台電台中區營業處#H96014#管線遷移工程#2017/10/06 08:30~09:00#無#中市北屯區軍福十九路#1911#
台電台中區營業處#L23310#管線遷移工程#2017/10/06 08:30~17:00#無#中市東勢區石圍牆段石圍牆小段#1911#
台電台中區營業處#L23310#管線遷移工程#2017/10/06 08:30~17:00#無#中市東勢區石圍墻段石圍墻小段#1911#
台電台中區營業處#L23310#管線遷移工程#2017/10/06 08:30~17:00#無#中市東勢區石壁坑段#1911#
台電台中區營業處#L23310#管線遷移工程#2017/10/06 08:30~17:00#無#中市東勢區東蘭路#1911#
台電台中區營業處#L33223#管線遷移工程#2017/10/06 08:30~12:00#無#中市西屯區中清路三段#1911#
台電台中區營業處#L33306#管線遷移工程#2017/10/06 08:30~17:00#無#中市太平區車籠埔段#1911#
台電台中區營業處#L33306#管線遷移工程#2017/10/06 08:30~17:00#無#中市太平區長龍路#1911#
台電台中區營業處#L33306#管線遷移工程#2017/10/06 08:30~17:00#無#中市太平區長龍路二段南國巷#1911#
台電台中區營業處#L33306#管線遷移工程#2017/10/06 08:30~17:00#無#中市太平區南國巷#1911#
台電台中區營業處#L33306#管線遷移工程#2017/10/06 08:30~17:00#無#中市太平區皇帝筍坑段#1911#
台電台中區營業處#L33306#管線遷移工程#2017/10/06 08:30~17:00#無#中市太平區埔里事業區#1911#
台電台中區營業處#L33306#管線遷移工程#2017/10/06 08:30~17:00#無#中市太平區頭汴坑段#1911#
台電台中區營業處#L33306#管線遷移工程#2017/10/06 08:30~17:00#無#中市太平區#1911#
台電台中區營業處#H96014#管線遷移工程#2017/10/06 08:30~15:30#無#中市北屯區軍榮二街#1911#
台電台中區營業處#L12897#管線遷移工程#2017/10/06 08:30~09:30#無#中市大肚區王福街#1911#
台電台中區營業處#L23310#管線遷移工程#2017/10/06 08:30~17:00#無#中市東勢區石圍牆段#1911#
台電台中區營業處#H96014#管線遷移工程#2017/10/06 08:30~09:00#無#中市北屯區軍和段#1911#
台電台中區營業處#L12899#管線遷移工程#2017/10/06 09:00~10:00#無#中市西屯區文華路#1911#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~15:00#無#中市烏日區九如段#1911#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~09:15#2017/10/06 14:45~15:00#中市烏日區環中路六段#1911#
台電台中區營業處#H36034#管線遷移工程#2017/10/06 09:00~09:15#2017/10/06 14:45~15:00#中市烏日區環中路五段#1911#
