營業區處#請求號數#工作概述#第一次停電時間#第二次停電時間#停電範圍#查詢電話(1911)#
台電宜蘭區營業處#H16914#管線遷移工程#2017/10/11 10:00~11:30#無#宜縣員山鄉枕山村#1911#
台電宜蘭區營業處#H16914#管線遷移工程#2017/10/11 10:00~11:30#無#宜縣員山鄉枕山路#1911#
台電宜蘭區營業處#H16915#管線遷移工程#2017/10/11 13:00~13:30#無#宜縣員山鄉枕山村#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮大同西巷#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮大同東巷#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮大同南巷#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮大同路#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮永新路#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮永榮里#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮和平路#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮馬賽路#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮新馬段#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮新榮路#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮隘界路#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮蘇濱路二段#1911#
台電宜蘭區營業處#H26861#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣蘇澳鎮#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉大義一路#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉大義村#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉大義路#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉光復路#1911#
台電宜蘭區營業處#H26875#管線遷移工程#2017/10/11 13:00~17:00#無#宜縣三星鄉安農北路三段#1911#
